implementationVersion,revisionDate,pageObjectName,locatorId,text
2.6.2,2017-05-29 15:24 +0000,WelcomeDialogImpl,caption,Herzlich willkommen
2.6.2,2017-05-29 15:24 +0000,WelcomeDialogImpl,startButton,Starten
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,progressBarText,98% abgeschlossen
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,chatLink,Chat Starten
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,docHeader,Dokumente
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,docDescription,"Identitätsnachweis - dieser Verifizierungsprozess bestätigt Ihre Identität und ist ein wichtiger Teil unserer Sicherheitsmaßnahmen, um Sie und Ihre Investition zu schützen."
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,smsWrapper,Mit Ihrem Smartphone hochladen
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,smsWrapperDescription,"Sie können Ihre Dokumente mit Ihrem Mobiltelefon hochladen.
Bestätigen Sie bitte Ihre Mobiltelefonnummer
Es wurde eine SMS an Ihr Mobiltelefon geschickt. Klicken Sie bitte auf den beigefügten Link und fahren Sie fort, Ihre Dokumente hochzuladen."
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,poiHeader,Identitätsnachweis
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,porHeader,Wohnnachweis
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,chatLink,Chat Starten
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,depositColumn,Machen Sie eine Einzahlung mit 24option
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,depositColumnDescription,Nach nur einigen kurzen Schritten können Sie mit der preisgekrönten Plattform von 24option handeln
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,depositAmount,Einzahlungsbetrag (£)
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,creditCardNumber,Kredit / debit kartennummer
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,cvv2,CVV2
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,expiryDateMonthCaption,Monat
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,expiryDateYearCaption,Jahr
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,cardHoldersFirstName,Vorname des Karteninhabers
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,cardHoldersLastName,Nachname des Karteninhabers
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,billingAddress,Rechnungsanschrift
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,city,Stadt
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,zipCode,PLZ
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,countryCaption,Wählen Sie ein Land
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,wizardProgressText,15% abgeschlossen
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,chatNow,Chat Starten
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,additionalDetailsTitle,Persönliche Angaben
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,birthDateTitle,Geburtsdatum
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,birthDateDayDropdownCaption,Tag
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,birthDateMonthDropdownCaption,Monat
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,birthDateYearDropdownCaption,Jahr
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,countryOfBirthTitle,Geburtsland
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,countryOfBirthDropdownCaption,Wählen Sie ein Land
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,nationalityTitle,Nationalität
2.6.2,2017-05-29 15:24 +0000,AbstractAccountAdditionalDetails,nationalityDropdownCaption,Wählen Sie ein Land
